Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,KT-0603-W,LED_0603_1608Metric,122.356847,-58.843153,45.0,top
D2,KT-0603-W,LED_0603_1608Metric,122.356847,-55.643153,-45.0,top
D3,KT-0603-W,LED_0603_1608Metric,125.556847,-55.643153,-135.0,top
D4,KT-0603-W,LED_0603_1608Metric,125.556847,-58.843153,135.0,top
J1,Conn_01x03_Socket,Molex_Micro-Fit_3.0_43650-0312_1x03-1MP_P3.00mm_Horizontal,124.34,-54.1675,180.0,bottom
Q1,SI2302B-TP,SOT95P237X125-3N,123.956847,-62.043153,-90.0,top
R1,180R,R_0402_1005Metric,120.956847,-57.743153,180.0,top
R2,180R,R_0402_1005Metric,120.966847,-56.743153,180.0,top
R3,180R,R_0402_1005Metric,126.946847,-56.743153,0.0,top
R4,180R,R_0402_1005Metric,126.956847,-57.743153,0.0,top
