Designator,Mid X,Mid Y,Layer,Rotation
TP2,187.830000,-118.030000,bottom,180.000000
TP3,182.690000,-119.610000,bottom,180.000000
TP4,172.680000,-121.100000,bottom,180.000000
TP6,169.280000,-121.060000,bottom,180.000000
TP7,217.620000,-121.770000,bottom,180.000000
TP8,219.720000,-121.780000,bottom,180.000000
AE1,192.790000,-113.075000,top,-90.000000
C1,190.930000,-107.590000,top,90.000000
C2,187.720000,-116.460000,top,0.000000
C3,190.770000,-109.030000,top,180.000000
C4,181.970000,-117.580000,top,90.000000
C5,191.280000,-110.040000,top,180.000000
C6,188.120000,-115.470000,top,0.000000
C7,189.360000,-111.430000,top,180.000000
C8,188.130000,-114.490000,top,0.000000
C9,184.820000,-104.800000,top,90.000000
C10,179.520000,-106.400000,top,180.000000
C11,179.510000,-105.400000,top,180.000000
C12,207.950000,-117.810000,top,-90.000000
C13,179.250000,-114.750000,top,180.000000
C14,189.360000,-113.460000,top,180.000000
C15,153.640000,-122.240000,top,-90.000000
C16,207.910000,-120.620000,top,-90.000000
C17,196.230000,-102.070000,top,0.000000
C18,173.910000,-108.600000,top,0.000000
C19,175.800000,-108.600000,top,0.000000
C20,190.940000,-105.710000,top,-90.000000
C21,192.750000,-109.020000,top,180.000000
C22,167.820000,-103.150000,top,180.000000
C23,231.300000,-123.850000,top,0.000000
C24,177.860000,-102.620000,top,90.000000
C25,198.580000,-105.720000,top,90.000000
C26,198.600000,-107.620000,top,90.000000
C27,230.800000,-125.150000,top,0.000000
C28,226.930000,-109.145000,top,90.000000
C29,226.550000,-106.550000,top,0.000000
C30,225.660000,-109.535000,top,90.000000
C31,226.850000,-104.350000,top,90.000000
C32,161.451839,-121.306315,top,127.000000
C33,226.550000,-101.890000,top,90.000000
C34,153.000000,-124.300000,top,90.000000
C35,169.450000,-114.020000,top,90.000000
D1,188.337500,-102.790000,top,180.000000
D2,224.750000,-116.370000,top,0.000000
D3,224.750000,-114.300000,top,0.000000
D4,224.752500,-118.430000,top,0.000000
H1,151.990000,-95.210000,top,0.000000
H2,236.300000,-94.910000,top,0.000000
H3,152.050000,-129.250000,top,0.000000
H4,236.000000,-129.250000,top,0.000000
IC1,173.850000,-104.940000,top,180.000000
IC2,174.050000,-112.475000,top,180.000000
IC3,165.850000,-108.280000,top,0.000000
IC4,203.472000,-117.385000,top,0.000000
IC5,217.225000,-116.912000,top,90.000000
J1,207.850000,-124.840000,top,180.000000
J2,158.810000,-111.210000,top,-90.000000
J3,191.580000,-124.817500,top,180.000000
J4,226.720000,-124.887500,top,180.000000
J5,166.620000,-99.100000,top,180.000000
J6,235.760000,-119.770000,top,180.000000
J7,177.700000,-124.840000,top,180.000000
J8,172.180000,-99.542500,top,0.000000
J9,212.100000,-109.100000,top,0.000000
J10,183.160000,-96.580000,top,180.000000
J11,191.670000,-99.542500,top,0.000000
J12,235.850000,-113.210000,top,180.000000
J13,235.790000,-106.620000,top,180.000000
J15,158.000000,-123.950000,top,-90.000000
J_HEATER1,205.100000,-100.300000,top,90.000000
J_HEATER2,213.800000,-100.300000,top,90.000000
J_HEATER3,222.750000,-100.350000,top,90.000000
J_HEATER4,230.460000,-100.370000,top,90.000000
L1,189.350000,-110.440000,top,180.000000
L3,189.350000,-112.460000,top,0.000000
Q7,203.480000,-105.500000,top,-90.000000
Q8,209.450000,-104.450000,top,0.000000
Q9,218.250000,-104.250000,top,-90.000000
Q10,236.120000,-100.500000,top,0.000000
R1,150.000000,-103.690000,top,-90.000000
R2,186.230000,-114.500000,top,0.000000
R3,197.210000,-113.750000,top,180.000000
R4,226.987500,-116.370000,top,-90.000000
R5,152.640000,-122.270000,top,90.000000
R6,197.210000,-114.770000,top,0.000000
R7,177.480000,-105.620000,top,90.000000
R8,197.220000,-115.780000,top,0.000000
R9,197.220000,-116.790000,top,0.000000
R10,170.110000,-107.700000,top,-90.000000
R11,197.260000,-118.360000,top,0.000000
R12,208.950000,-114.300000,top,90.000000
R13,207.950000,-114.310000,top,-90.000000
R14,180.680000,-101.870000,top,180.000000
R15,184.190000,-102.330000,top,-90.000000
R16,183.160000,-102.325000,top,-90.000000
R17,182.160000,-102.325000,top,-90.000000
R18,226.997500,-114.290000,top,-90.000000
R19,226.980000,-118.420000,top,90.000000
R_ADC_POT1,194.310000,-102.070000,top,0.000000
R_G1,205.850000,-104.490000,top,-90.000000
R_G2,207.680000,-109.100000,top,-90.000000
R_G3,220.850000,-105.200000,top,-90.000000
R_G4,235.090000,-98.190000,top,180.000000
R_I2C_SCL1,222.980000,-122.310000,top,180.000000
R_I2C_SCL2,215.540000,-122.320000,top,180.000000
R_PD1,195.840000,-109.230000,top,90.000000
R_PD2,205.950000,-106.540000,top,-90.000000
R_PD3,215.800000,-104.950000,top,-90.000000
R_PD4,236.990000,-98.190000,top,0.000000
SW1,151.320000,-108.310000,top,-90.000000
SW2,151.350000,-117.965000,top,90.000000
TP1,210.490000,-114.360000,top,0.000000
TP5,154.510000,-117.870000,top,0.000000
TP11,153.710000,-103.410000,top,0.000000
TP12,154.500000,-106.630000,top,0.000000
TP13,154.500000,-108.860000,top,0.000000
TP14,154.500000,-111.180000,top,0.000000
TP15,153.350000,-113.360000,top,0.000000
TP16,154.500000,-115.780000,top,0.000000
TP18,150.350000,-124.050000,top,0.000000
U1,184.250000,-109.865000,top,180.000000
U2,196.485000,-106.705000,top,90.000000
U4,192.975000,-106.745000,top,-90.000000
Y1,184.630000,-116.770000,top,180.000000
