"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AE1","1","Antenna_Chip","","","","Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical",""
"C1,C6,C10","3","1uF 0402","","","","Capacitor_SMD:C_0402_1005Metric",""
"C2,C4","2","12pF 0402","","","","Capacitor_SMD:C_0402_1005Metric",""
"C3","1","10uF 0402","","","","Capacitor_SMD:C_0402_1005Metric",""
"C5,C7,C9,C15,C17,C18,C19,C20,C21,C22,C24,C27,C30,C33,C34,C35","16","100nF 0402","","","","Capacitor_SMD:C_0402_1005Metric",""
"C8","1","10nF 0402","","","","Capacitor_SMD:C_0402_1005Metric",""
"C11,C13","2","0.1uF 0402","","","","Capacitor_SMD:C_0402_1005Metric",""
"C12","1","10nF 0603","","","","Capacitor_SMD:C_0402_1005Metric",""
"C14","1","15pF 0402","","","","Capacitor_SMD:C_0402_1005Metric",""
"C16","1","2.2uF 0603","","","","Capacitor_SMD:C_0402_1005Metric",""
"C23,C28,C31,C32","4","10uF 0603","","","","Capacitor_SMD:C_0603_1608Metric",""
"C25,C26","2","0.1uF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C29","1","100nF","","","","Capacitor_SMD:C_0402_1005Metric",""
"D1","1","MBR0520","","","","Diode_SMD:D_SOD-123","http://www.mccsemi.com/up_pdf/MBR0520~MBR0580(SOD123).pdf"
"D2,D3,D4","3","KT-0805Y","","","","LED_SMD:LED_0805_2012Metric",""
"IC1","1","MAX31865ATP+","","","","MAX31865ATP+:QFN65P500X500X80-21N","https://www.analog.com/MAX31865/datasheet"
"IC2","1","W25Q01JVZEIQ","","","","Package_SON:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm","https://www.winbond.com/hq/search-resource-file.jsp?partNo=W25Q01JVZEIQ&type=datasheet"
"IC3","1","ISL83491IBZ-T","","","","ISL83491IBZ-T:SOIC127P600X175-14N","https://www.renesas.com/en-us/www/doc/datasheet/isl83483-85-88-90-91.pdf"
"IC4","1","DRV8834PWP","","","","DRV8834PWP:SOP65P640X120-25N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-SFU2/DSASFU100034685.pdf"
"IC5","1","ULN2003ADR","","","","ULN2003ADR:SOIC127P600X175-16N","http://www.ti.com/lit/ds/symlink/uln2003a.pdf"
"J1","1","Conn_01x05_Pin","","","","Connector_JST:JST_EH_S5B-EH_1x05_P2.50mm_Horizontal",""
"J2","1","Conn_01x09","","","","Connector_JST:JST_GH_BM09B-GHS-TBT_1x09-1MP_P1.25mm_Vertical",""
"J3","1","Conn_01x04_Pin","","","","Connector_JST:JST_EH_S4B-EH_1x04_P2.50mm_Horizontal",""
"J4,J7","2","Conn_01x06_Pin","","","","Connector_JST:JST_EH_S6B-EH_1x06_P2.50mm_Horizontal",""
"J5","1","Conn_01x04","","","","Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal",""
"J6,J12,J13,J15,J_HEATER1,J_HEATER2,J_HEATER3,J_HEATER4","8","Conn_01x02_Pin","","","","Connector_AMASS:AMASS_XT30U-F_1x02_P5.0mm_Vertical",""
"J8","1","Conn_01x02","","","","Connector_JST:JST_EH_S2B-EH_1x02_P2.50mm_Horizontal",""
"J9","1","Conn_01x05","","","","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",""
"J10","1","TYPE-C 16PIN 2MD(073)","","","","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J11","1","Conn_01x03","","","","Connector_JST:JST_EH_S3B-EH_1x03_P2.50mm_Horizontal",""
"L1","1","2.0nH 0402","","","","Inductor_SMD:L_0402_1005Metric",""
"L3","1","4.7nH 0402","","","","Inductor_SMD:L_0402_1005Metric",""
"Q7,Q8,Q9,Q10","4","IRLML6344TRPBF","","","","IRLML6344TRPBF:SOT95P237X112-3N","https://www.infineon.com/dgdl/irlml6344pbf.pdf?fileId=5546d462533600a4015356689c44262c"
"R1,R5,R12","3","10kR 0402","","","","Resistor_SMD:R_0402_1005Metric",""
"R2","1","2R 0402","","","","Resistor_SMD:R_0402_1005Metric",""
"R3","1","47kR 0402","","","","Resistor_SMD:R_0402_1005Metric",""
"R4,R_ADC_POT1","2","1kR 0402","","","","Resistor_SMD:R_0402_1005Metric",""
"R6,R8","2","51kR 0402","","","","Resistor_SMD:R_0402_1005Metric",""
