Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C25,C26",C_0402_1005Metric,C141382,2
0.1uF 0402,"C11,C13",C_0402_1005Metric,C141382,2
0.39R 1206,"Rsense1,Rsense2",R_1206_3216Metric,C2912710,2
100R 0402,"R_G1,R_G2,R_G3,R_G4",R_0402_1005Metric,C144808,4
100kR 0402,"R_PD1,R_PD2,R_PD3,R_PD4",R_0402_1005Metric,C25741,4
100nF,C29,C_0402_1005Metric,C1525,1
100nF 0402,"C15,C17,C18,C19,C20,C21,C22,C24,C27,C30,C33,C34,C35,C5,C7,C9",C_0402_1005Metric,C1525,16
100nF 1206,"C36,C38,C40,C42",C_1206_3216Metric,C24497,4
100uF 1206,C37,C_1206_3216Metric,C76656,1
10kR 0402,"R1,R5",R_0402_1005Metric,C60490,2
10kR 0603,Rtop1,R_0603_1608Metric,C108449,1
10nF 0402,C8,C_0402_1005Metric,C15195,1
10uF 0402,C3,C_0402_1005Metric,C15525,1
10uF 0603,"C23,C28,C31,C32",C_0603_1608Metric,C19702,4
120R 0402,R10,R_0402_1005Metric,C25079,1
12pF 0402,"C2,C4",C_0402_1005Metric,C26406,2
15pF 0402,C14,C_0402_1005Metric,C1548,1
1kR 0402,"R4,R_ADC_POT1",R_0402_1005Metric,C11702,2
1uF 0402,"C1,C10,C6",C_0402_1005Metric,C29266,3
2.0nH 0402,L1,L_0402_1005Metric,C18216,1
2.2uF 1206,C41,C_1206_3216Metric,C50254,1
22R 0402,"R16,R17",R_0402_1005Metric,C25092,2
22nF 1206,C39,C_1206_3216Metric,C113907,1
2R 0402,R2,R_0402_1005Metric,C226977,1
2kR 0402,"R18,R19",R_0402_1005Metric,C4109,2
4.7nH 0402,L3,L_0402_1005Metric,C86065,1
400R 0402,R7,R_0402_1005Metric,C137984,1
40MHz 3225 9pF,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C655032,1
4K7 0402,"R_I2C_SCL1,R_I2C_SCL2",R_0402_1005Metric,C25900,2
5.1kR 0402,"R14,R15",R_0402_1005Metric,C25905,2
9.1kR 0603,Rbottom1,R_0603_1608Metric,C23260,1
Antenna_Chip,AE1,U.FL_Molex_MCRF_73412-0110_Vertical,C22418213,1
BME280,U2,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,C92489,1
Conn_01x02,J8,Molex_Micro-Latch_53254-0270_1x02_P2.00mm_Horizontal,C505100,1
Conn_01x02_Pin,"J12,J13,J15,J6,J_HEATER1,J_HEATER2,J_HEATER3,J_HEATER4",Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical,C293740,8
Conn_01x03,J11,Molex_Micro-Latch_53254-0370_1x03_P2.00mm_Horizontal,C3008071,1
Conn_01x04,J5,Molex_Micro-Latch_53254-0470_1x04_P2.00mm_Horizontal,C293629,1
Conn_01x04_Pin,J3,Molex_Micro-Latch_53254-0470_1x04_P2.00mm_Horizontal,C293629,1
Conn_01x05,J9,Molex_Micro-Fit_3.0_43650-0515_1x05_P3.00mm_Vertical,C505230,1
Conn_01x05_Pin,J1,Molex_Micro-Latch_53254-0570_1x05_P2.00mm_Horizontal,C585950,1
Conn_01x06_Pin,"J4,J7",Molex_Micro-Latch_53254-0670_1x06_P2.00mm_Horizontal,C585951,2
Conn_01x09,J2,JST_GH_BM09B-GHS-TBT_1x09-1MP_P1.25mm_Vertical,C495259,1
ESP32-S3,U1,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,C2913192,1
IRLML6344TRPBF,"Q10,Q7,Q8,Q9",SOT95P237X112-3N,C53550,4
ISL83491IBZ-T,IC3,SOIC127P600X175-14N,C53286096,1
KT-0805Y,"D2,D3,D4",LED_0805_2012Metric,C2296,3
LSM6DSM,U4,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,C94048,1
MAX31865ATP+,IC1,QFN65P500X500X80-21N,C118474,1
MBR0520,D1,D_SOD-123,C23848,1
SW_SPST,"SW1,SW2",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,C2689642,2
TMC2209-LA,IC6,QFN50P500X500X90-29N,C2150710,1
TYPE-C 16PIN 2MD(073),J10,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C2765186,1
ULN2003ADR,IC5,SOIC127P600X175-16N,C7512,1
W25Q01JVZEIQ,IC2,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,C5137036,1
