Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna_Chip,U.FL_Molex_MCRF_73412-0110_Vertical,192.79,-113.075,-90.0,top
C1,1uF 0402,C_0402_1005Metric,190.93,-107.59,90.0,top
C10,1uF 0402,C_0402_1005Metric,179.52,-106.4,180.0,top
C11,0.1uF 0402,C_0402_1005Metric,179.51,-105.4,180.0,top
C13,0.1uF 0402,C_0402_1005Metric,179.25,-114.75,180.0,top
C14,15pF 0402,C_0402_1005Metric,189.36,-113.46,180.0,top
C15,100nF 0402,C_0402_1005Metric,153.64,-122.24,-90.0,top
C17,100nF 0402,C_0402_1005Metric,196.23,-102.07,0.0,top
C18,100nF 0402,C_0402_1005Metric,173.91,-108.6,0.0,top
C19,100nF 0402,C_0402_1005Metric,175.8,-108.6,0.0,top
C2,12pF 0402,C_0402_1005Metric,187.72,-116.46,0.0,top
C20,100nF 0402,C_0402_1005Metric,190.94,-105.71,-90.0,top
C21,100nF 0402,C_0402_1005Metric,192.75,-109.02,180.0,top
C22,100nF 0402,C_0402_1005Metric,167.82,-103.15,180.0,top
C23,10uF 0603,C_0603_1608Metric,230.76,-127.35,0.0,top
C24,100nF 0402,C_0402_1005Metric,177.86,-102.62,90.0,top
C25,0.1uF,C_0402_1005Metric,198.58,-105.72,90.0,top
C26,0.1uF,C_0402_1005Metric,198.6,-107.62,90.0,top
C27,100nF 0402,C_0402_1005Metric,230.36,-128.65,0.0,top
C28,10uF 0603,C_0603_1608Metric,226.11,-109.02,90.0,top
C29,100nF,C_0402_1005Metric,226.36,-106.91,0.0,top
C3,10uF 0402,C_0402_1005Metric,190.77,-109.03,180.0,top
C30,100nF 0402,C_0402_1005Metric,225.8,-111.9,90.0,top
C31,10uF 0603,C_0603_1608Metric,226.3,-104.81,90.0,top
C32,10uF 0603,C_0603_1608Metric,162.31,-121.33,127.0,top
C33,100nF 0402,C_0402_1005Metric,225.01,-104.38,90.0,top
C34,100nF 0402,C_0402_1005Metric,153.0,-124.3,90.0,top
C35,100nF 0402,C_0402_1005Metric,169.45,-114.02,90.0,top
C36,100nF 1206,C_1206_3216Metric,208.99,-115.56,0.0,top
C37,100uF 1206,C_1206_3216Metric,198.0,-111.62,0.0,top
C38,100nF 1206,C_1206_3216Metric,194.05,-120.43,90.0,top
C39,22nF 1206,C_1206_3216Metric,193.64,-126.51,-90.0,top
C4,12pF 0402,C_0402_1005Metric,181.97,-117.58,90.0,top
C40,100nF 1206,C_1206_3216Metric,196.65,-115.71,-90.0,top
C41,2.2uF 1206,C_1206_3216Metric,197.21,-120.485,90.0,top
C42,100nF 1206,C_1206_3216Metric,192.89,-116.86,0.0,top
C5,100nF 0402,C_0402_1005Metric,191.28,-110.04,180.0,top
C6,1uF 0402,C_0402_1005Metric,188.12,-115.47,0.0,top
C7,100nF 0402,C_0402_1005Metric,189.36,-111.43,180.0,top
C8,10nF 0402,C_0402_1005Metric,188.13,-114.49,0.0,top
C9,100nF 0402,C_0402_1005Metric,184.82,-104.8,90.0,top
D1,MBR0520,D_SOD-123,188.3375,-102.79,180.0,top
D2,KT-0805Y,LED_0805_2012Metric,224.75,-116.37,0.0,top
D3,KT-0805Y,LED_0805_2012Metric,224.75,-114.3,0.0,top
D4,KT-0805Y,LED_0805_2012Metric,224.7525,-118.43,0.0,top
H1,MountingHole_Pad,MountingHole_2.2mm_M2_DIN965_Pad,152.02,-95.28,0.0,top
H2,MountingHole_Pad,MountingHole_2.2mm_M2_DIN965_Pad,235.98,-95.26,0.0,top
H3,MountingHole_Pad,MountingHole_2.2mm_M2_DIN965_Pad,152.0,-129.22,0.0,top
H4,MountingHole_Pad,MountingHole_2.2mm_M2_DIN965_Pad,236.0,-129.245,0.0,top
IC1,MAX31865ATP+,QFN65P500X500X80-21N,173.85,-104.94,180.0,top
IC2,W25Q01JVZEIQ,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,174.05,-112.475,180.0,top
IC3,ISL83491IBZ-T,SOIC127P600X175-14N,165.85,-108.28,0.0,top
IC5,ULN2003ADR,SOIC127P600X175-16N,217.225,-116.912,90.0,top
IC6,TMC2209-LA,QFN50P500X500X90-29N,203.52,-118.22,-90.0,top
J1,Conn_01x05_Pin,Molex_Micro-Latch_53254-0570_1x05_P2.00mm_Horizontal,201.78,-125.64,180.0,top
J10,TYPE-C 16PIN 2MD(073),USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,183.16,-97.72,180.0,top
J11,Conn_01x03,Molex_Micro-Latch_53254-0370_1x03_P2.00mm_Horizontal,193.72,-99.31,0.0,top
J12,Conn_01x02_Pin,Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical,233.24,-116.6625,180.0,top
J13,Conn_01x02_Pin,Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical,233.08,-109.0025,180.0,top
J15,Conn_01x02_Pin,Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical,158.9925,-126.64,-90.0,top
J2,Conn_01x09,JST_GH_BM09B-GHS-TBT_1x09-1MP_P1.25mm_Vertical,158.81,-111.21,-90.0,top
J3,Conn_01x04_Pin,Molex_Micro-Latch_53254-0470_1x04_P2.00mm_Horizontal,186.17,-125.53,180.0,top
J4,Conn_01x06_Pin,Molex_Micro-Latch_53254-0670_1x06_P2.00mm_Horizontal,219.76,-125.37,180.0,top
J5,Conn_01x04,Molex_Micro-Latch_53254-0470_1x04_P2.00mm_Horizontal,163.875,-98.945,0.0,top
J6,Conn_01x02_Pin,Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical,233.2,-124.3825,180.0,top
J7,Conn_01x06_Pin,Molex_Micro-Latch_53254-0670_1x06_P2.00mm_Horizontal,170.68,-125.54,180.0,top
J8,Conn_01x02,Molex_Micro-Latch_53254-0270_1x02_P2.00mm_Horizontal,173.55,-99.29,0.0,top
J9,Conn_01x05,Molex_Micro-Fit_3.0_43650-0515_1x05_P3.00mm_Vertical,215.23,-108.4375,0.0,top
J_HEATER1,Conn_01x02_Pin,Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical,202.4825,-97.96,90.0,top
J_HEATER2,Conn_01x02_Pin,Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical,213.7925,-97.52,90.0,top
J_HEATER3,Conn_01x02_Pin,Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical,221.1375,-97.65,90.0,top
